Time,Open,High,Low,Last,Change,%Chg,Volume
"02/10/2021 11:42",31376.78,31376.78,31369.04,31370.44,-5.59,-0.02%,460889
"02/10/2021 11:41",31371.09,31376.64,31366.31,31376.03,4.82,+0.02%,420684
"02/10/2021 11:40",31372.72,31374.8,31366.85,31371.21,-1.07,0.00%,670258
"02/10/2021 11:39",31368.75,31376.09,31368.75,31372.28,3.83,+0.01%,453631
"02/10/2021 11:38",31378.25,31378.45,31367.05,31368.45,-9.8,-0.03%,979608
"02/10/2021 11:37",31375.37,31385.6,31371.49,31378.25,3.17,+0.01%,558525
"02/10/2021 11:36",31381.9,31382.9,31374.27,31375.08,-6.32,-0.02%,434884
"02/10/2021 11:35",31380.11,31389.96,31380.09,31381.4,2.22,+0.01%,743139
"02/10/2021 11:34",31363.7,31386.58,31363.7,31379.18,16.35,+0.05%,795320
"02/10/2021 11:33",31345.35,31362.83,31338.6,31362.83,16.79,+0.05%,616071
"02/10/2021 11:32",31359.43,31359.43,31334.01,31346.04,-13.52,-0.04%,711984
"02/10/2021 11:31",31361.16,31361.53,31352.8,31359.56,-2.5,-0.01%,624606
"02/10/2021 11:30",31363.55,31370.34,31360.71,31362.06,-1.57,-0.01%,678365
"02/10/2021 11:29",31374.97,31375.36,31363.63,31363.63,-15.37,-0.05%,720683
"02/10/2021 11:28",31386.98,31397.5,31379,31379,-7.29,-0.02%,658483
"02/10/2021 11:27",31381.96,31386.57,31366.64,31386.29,4.35,+0.01%,746602
"02/10/2021 11:26",31404.81,31410.87,31378.89,31381.94,-22.48,-0.07%,670580
"02/10/2021 11:25",31395.35,31404.86,31392.73,31404.42,8.92,+0.03%,475896
"02/10/2021 11:24",31404.95,31404.95,31387.85,31395.5,-10.3,-0.03%,610605
"02/10/2021 11:23",31408.53,31411.25,31401.45,31405.8,-2.38,-0.01%,512870
"02/10/2021 11:22",31392.19,31408.18,31392.19,31408.18,14.06,+0.04%,655925
"02/10/2021 11:21",31398.93,31401.06,31394.12,31394.12,-5.11,-0.02%,1007753
"02/10/2021 11:20",31407.51,31410.32,31399.23,31399.23,-8.18,-0.03%,567919
"02/10/2021 11:19",31409,31409,31399.75,31407.41,-1.41,0.00%,605678
"02/10/2021 11:18",31405.96,31410.08,31403.16,31408.82,2.53,+0.01%,497179
"02/10/2021 11:17",31406.48,31412.45,31405.24,31406.29,0.2,0.00%,550568
"02/10/2021 11:16",31410.96,31417.1,31405.94,31406.09,-3.41,-0.01%,503351
"02/10/2021 11:15",31421.65,31428.83,31409.45,31409.5,-12.88,-0.04%,672049
"02/10/2021 11:14",31419.66,31430.67,31419.66,31422.38,2.64,+0.01%,563765
"02/10/2021 11:13",31415.12,31421.56,31412.11,31419.74,5.16,+0.02%,650918
"02/10/2021 11:12",31402.35,31414.58,31399.67,31414.58,12.45,+0.04%,611142
"02/10/2021 11:11",31396.66,31404.47,31395.92,31402.13,4.98,+0.02%,624725
"02/10/2021 11:10",31389.93,31397.95,31387.26,31397.15,7.06,+0.02%,593248
"02/10/2021 11:09",31388.84,31390.09,31377.14,31390.09,0.45,0.00%,707688
"02/10/2021 11:08",31386.02,31390.01,31383.15,31389.64,3.77,+0.01%,639440
"02/10/2021 11:07",31386.65,31392.93,31382.42,31385.87,-0.73,0.00%,598061
"02/10/2021 11:06",31380.69,31394.48,31378.83,31386.6,7.11,+0.02%,804901
"02/10/2021 11:05",31364.33,31381.59,31347.25,31379.49,13.89,+0.04%,1008584
"02/10/2021 11:04",31391.37,31398.34,31365.6,31365.6,-24.07,-0.08%,855181
"02/10/2021 11:03",31400.3,31405.69,31387.44,31389.67,-10.98,-0.03%,608784
"02/10/2021 11:02",31412.89,31422.47,31400.49,31400.65,-11.23,-0.04%,2172454
"02/10/2021 11:01",31419.77,31419.77,31406.71,31411.88,-6.67,-0.02%,790401
"02/10/2021 11:00",31403.9,31418.72,31392.04,31418.55,14.55,+0.05%,1170725
"02/10/2021 10:59",31382.87,31406.63,31381.5,31404,22.26,+0.07%,962892
"02/10/2021 10:58",31363.65,31386.11,31363.52,31381.74,18.23,+0.06%,876254
"02/10/2021 10:57",31345.36,31376.42,31345.36,31363.51,18.31,+0.06%,846513
"02/10/2021 10:56",31376.15,31379.4,31345.2,31345.2,-30.02,-0.10%,805671
"02/10/2021 10:55",31367.14,31381.9,31364.93,31375.22,7.21,+0.02%,838481
"02/10/2021 10:54",31373.53,31373.88,31364.57,31368.01,-4.38,-0.01%,1100653
"02/10/2021 10:53",31347.54,31375.69,31340.96,31372.39,25.08,+0.08%,874972
"02/10/2021 10:52",31315.98,31349.05,31315.98,31347.31,32.91,+0.11%,983951
"02/10/2021 10:51",31304.46,31315.33,31302.58,31314.4,10.58,+0.03%,835657
"02/10/2021 10:50",31297.46,31307.67,31286.55,31303.82,9.63,+0.03%,903563
"02/10/2021 10:49",31283.49,31294.19,31283.49,31294.19,10.62,+0.03%,1132641
"02/10/2021 10:48",31259.18,31288.13,31258.77,31283.57,23.62,+0.08%,1041846
"02/10/2021 10:47",31233.07,31261.74,31232.79,31259.95,19.55,+0.06%,1448671
"02/10/2021 10:46",31261.77,31279.07,31240.2,31240.4,-20.95,-0.07%,1547478
"02/10/2021 10:45",31233.51,31263.86,31227.52,31261.35,28.4,+0.09%,1641029
"02/10/2021 10:44",31254.93,31254.99,31221.32,31232.95,-20.41,-0.07%,1563514
"02/10/2021 10:43",31271.06,31287.38,31253.36,31253.36,-19.28,-0.06%,1145932
"02/10/2021 10:42",31305.22,31308.6,31270.06,31272.64,-32.1,-0.10%,1720195
"02/10/2021 10:41",31309.4,31312.43,31304.74,31304.74,-4.51,-0.01%,676959
"02/10/2021 10:40",31310.23,31314.75,31303.39,31309.25,-1.15,0.00%,768349
"02/10/2021 10:39",31342.49,31342.49,31310.4,31310.4,-34.09,-0.11%,760560
"02/10/2021 10:38",31340.44,31348.78,31327.59,31344.49,3.33,+0.01%,1036427
"02/10/2021 10:37",31340.51,31349.16,31331.44,31341.16,0.53,0.00%,774703
"02/10/2021 10:36",31341.47,31355.04,31331.49,31340.63,-1.39,0.00%,1114593
"02/10/2021 10:35",31302.9,31343.9,31302.9,31342.02,38.89,+0.12%,1263914
"02/10/2021 10:34",31313.76,31313.87,31290.84,31303.13,-10.87,-0.03%,1091297
"02/10/2021 10:33",31301.39,31324.27,31299.9,31314,11.39,+0.04%,1147432
"02/10/2021 10:32",31346.94,31346.94,31302.48,31302.61,-47.29,-0.15%,722515
"02/10/2021 10:31",31335.97,31349.9,31306.75,31349.9,15.46,+0.05%,1158739
"02/10/2021 10:30",31346.86,31350.14,31326.99,31334.44,-12.17,-0.04%,1133268
"02/10/2021 10:29",31372.11,31372.86,31345.43,31346.61,-25.21,-0.08%,965628
"02/10/2021 10:28",31379.97,31380.98,31364.71,31371.82,-7.84,-0.02%,916179
"02/10/2021 10:27",31363.5,31380.62,31356.95,31379.66,13.83,+0.04%,1145837
"02/10/2021 10:26",31354,31369.48,31350.54,31365.83,10.13,+0.03%,1206093
"02/10/2021 10:25",31336.41,31355.7,31310.9,31355.7,19.65,+0.06%,1769337
"02/10/2021 10:24",31351.13,31351.13,31312.33,31336.05,-16.91,-0.05%,3238702
"02/10/2021 10:23",31362.55,31367.46,31352.9,31352.96,-8.13,-0.03%,1698943
"02/10/2021 10:22",31374.05,31382.94,31342.44,31361.09,-9.06,-0.03%,1528122
"02/10/2021 10:21",31400.57,31409.49,31366.41,31370.15,-30.47,-0.10%,1622106
"02/10/2021 10:20",31427.24,31427.24,31397.52,31400.62,-27,-0.09%,1471112
"02/10/2021 10:19",31455.11,31455.38,31426.03,31427.62,-28.05,-0.09%,1164691
"02/10/2021 10:18",31448.64,31457.97,31448.64,31455.67,6.49,+0.02%,897257
"02/10/2021 10:17",31456.71,31456.71,31448.94,31449.18,-6.29,-0.02%,1075964
"02/10/2021 10:16",31452.93,31457.06,31450.83,31455.47,1.11,0.00%,987549
"02/10/2021 10:15",31470.87,31470.87,31454.16,31454.36,-16.73,-0.05%,1182203
"02/10/2021 10:14",31472.78,31476.46,31468.73,31471.09,-2.17,-0.01%,969984
"02/10/2021 10:13",31471.16,31474.89,31463.55,31473.26,1.34,0.00%,885717
"02/10/2021 10:12",31490.26,31494.94,31471.92,31471.92,-18.3,-0.06%,1487623
"02/10/2021 10:11",31487.95,31493.52,31485.07,31490.22,1.79,+0.01%,795492
"02/10/2021 10:10",31487.26,31494.96,31486.57,31488.43,1.89,+0.01%,1803216
"02/10/2021 10:09",31484.02,31486.54,31476.18,31486.54,1.53,0.00%,790168
"02/10/2021 10:08",31467.79,31485.46,31467.79,31485.01,16.88,+0.05%,926570
"02/10/2021 10:07",31468.77,31472.92,31467.2,31468.13,-1.06,0.00%,786827
"02/10/2021 10:06",31470.25,31472.27,31465.14,31469.19,-1.16,0.00%,748413
"02/10/2021 10:05",31464.08,31474.55,31460.88,31470.35,6.86,+0.02%,733307
"02/10/2021 10:04",31469.18,31469.56,31461.32,31463.49,-6.05,-0.02%,665143
"02/10/2021 10:03",31467.52,31470.39,31462.5,31469.54,2.51,+0.01%,789265
"02/10/2021 10:02",31468.69,31468.69,31463.79,31467.03,-2.22,-0.01%,756486
"02/10/2021 10:01",31480.7,31480.7,31468.75,31469.25,-11.31,-0.04%,780878
"02/10/2021 10:00",31458.65,31487.94,31458.65,31480.56,20.99,+0.07%,1503776
