Time,Open,High,Low,Last,Change,%Chg,Volume
"11/16/2021 10:00",36255.45,36277.73,36254.14,36271.81,17.59,+0.05%,1216631
"11/16/2021 09:59",36256.34,36257.09,36247.05,36254.22,-1.84,-0.01%,757798
"11/16/2021 09:58",36269.27,36270.23,36255.72,36256.06,-13.79,-0.04%,849145
"11/16/2021 09:57",36277.49,36284.9,36265.99,36269.85,-9.77,-0.03%,1030913
"11/16/2021 09:56",36283.51,36286.04,36277.04,36279.62,-4.19,-0.01%,767684
"11/16/2021 09:55",36289.13,36294.74,36281.37,36283.81,-2.06,-0.01%,942256
"11/16/2021 09:54",36278.1,36287.06,36270.16,36285.87,5.63,+0.02%,1184473
"11/16/2021 09:53",36276.97,36294.82,36276.97,36280.24,1.77,0.00%,935915
"11/16/2021 09:52",36243.01,36278.68,36239.38,36278.47,34.59,+0.10%,1218492
"11/16/2021 09:51",36250.77,36250.77,36235.9,36243.88,-7.09,-0.02%,4468757
"11/16/2021 09:50",36269.1,36283.52,36249.76,36250.97,-18.3,-0.05%,1325126
"11/16/2021 09:49",36258.23,36270.82,36256,36269.27,11.2,+0.03%,1021060
"11/16/2021 09:48",36247.12,36261.22,36247.12,36258.07,10.88,+0.03%,2510125
"11/16/2021 09:47",36242.72,36250.49,36236,36247.19,0.81,0.00%,1746896
"11/16/2021 09:46",36243.93,36255.1,36242.88,36246.38,3.36,+0.01%,929553
"11/16/2021 09:45",36231.59,36249.75,36231.59,36243.02,12.9,+0.04%,1382187
"11/16/2021 09:44",36221.36,36236.76,36220.48,36230.12,10.34,+0.03%,978165
"11/16/2021 09:43",36217.68,36224.28,36208.09,36219.78,1.31,0.00%,962716
"11/16/2021 09:42",36205.17,36223.91,36205.17,36218.47,13.84,+0.04%,901329
"11/16/2021 09:41",36216.87,36219.87,36199.36,36204.63,-11.6,-0.03%,1298040
"11/16/2021 09:40",36210.7,36220.66,36210.21,36216.23,9.93,+0.03%,1390653
"11/16/2021 09:39",36213.37,36219.63,36199.42,36206.3,-7.73,-0.02%,1106507
"11/16/2021 09:38",36225.15,36232.09,36209.13,36214.03,-10.39,-0.03%,1201741
"11/16/2021 09:37",36218.82,36224.42,36209.08,36224.42,2.92,+0.01%,1157755
"11/16/2021 09:36",36201.27,36221.52,36201.27,36221.5,21.15,+0.06%,1463295
"11/16/2021 09:35",36193.13,36203.4,36166.38,36200.35,5.35,+0.01%,1908981
"11/16/2021 09:34",36177.33,36203.54,36172.87,36195,21.52,+0.06%,1330372
"11/16/2021 09:33",36174.63,36181.37,36160.92,36173.48,-1.65,0.00%,1513898
"11/16/2021 09:32",36171.31,36175.44,36150.12,36175.13,6.98,+0.02%,1409406
"11/16/2021 09:31",36149.06,36171.01,36149.06,36168.15,21.63,+0.06%,1897274
"11/16/2021 09:30",36076.18,36174.56,36076.18,36146.52,59.07,+0.16%,11254829
"11/15/2021 16:55",36087.45,36087.45,36087.45,36087.45,0,0.00%,2099871
"11/15/2021 16:20",36087.45,36087.45,36087.45,36087.45,0,0.00%,4
"11/15/2021 16:19",36087.45,36087.45,36087.45,36087.45,0,0.00%,5115
"11/15/2021 16:18",36087.45,36087.45,36087.45,36087.45,0,0.00%,5737
"11/15/2021 16:17",36087.45,36087.45,36087.45,36087.45,0,0.00%,7937
"11/15/2021 16:16",36087.45,36087.45,36087.45,36087.45,0,0.00%,5634
"11/15/2021 16:15",36087.45,36087.45,36087.45,36087.45,0,0.00%,8263
"11/15/2021 16:14",36087.45,36087.45,36087.45,36087.45,0,0.00%,2070
"11/15/2021 16:13",36087.45,36087.45,36087.45,36087.45,0,0.00%,5280
"11/15/2021 16:12",36087.45,36087.45,36087.45,36087.45,0,0.00%,11723
"11/15/2021 16:11",36087.45,36087.45,36087.45,36087.45,0,0.00%,8688
"11/15/2021 16:10",36087.45,36087.45,36087.45,36087.45,0,0.00%,57006
"11/15/2021 16:09",36087.45,36087.45,36087.45,36087.45,0,0.00%,1289956
"11/15/2021 16:08",36087.45,36087.45,36087.45,36087.45,0,0.00%,5933
"11/15/2021 16:07",36087.45,36087.45,36087.45,36087.45,0,0.00%,520010
"11/15/2021 16:06",36087.45,36087.45,36087.45,36087.45,0,0.00%,7356
"11/15/2021 16:05",36087.45,36087.45,36087.45,36087.45,0,0.00%,8870
"11/15/2021 16:04",36087.45,36087.45,36087.45,36087.45,0,0.00%,24180
"11/15/2021 16:03",36087.45,36087.45,36087.45,36087.45,0,0.00%,2096806
"11/15/2021 16:02",36087.98,36087.98,36087.45,36087.45,-0.53,0.00%,8495131
"11/15/2021 16:01",36087.98,36087.98,36087.98,36087.98,0,0.00%,1875923
"11/15/2021 16:00",36091.93,36091.93,36087.98,36087.98,-0.46,0.00%,27594080
"11/15/2021 15:59",36065.31,36088.74,36065.31,36088.44,23.2,+0.06%,5291035
"11/15/2021 15:58",36051.9,36065.7,36050.99,36065.24,12.42,+0.03%,2203527
"11/15/2021 15:57",36055.92,36056.25,36049.19,36052.82,-1.22,0.00%,1701027
"11/15/2021 15:56",36061.5,36061.91,36052.69,36054.04,-7.98,-0.02%,1521815
"11/15/2021 15:55",36052.87,36065.93,36050.98,36062.02,10.02,+0.03%,1777021
